METERID,LON,LAT
3823002,-73.9585014007,40.6187547998
4863002,-73.7355480702,40.6663213504
2083024,-73.8608162472,40.8874181198
2083055,-73.8555463424,40.8964993
2243030,-73.9118104516,40.8860481847
3713001,-74.0027972282,40.6078305706
2013123,-73.8822669841,40.8581781297
4361763,-73.8888595562,40.7013208509
4063067,-73.8336333042,40.7593148612
1473129,-73.9895182533,40.7308666396
1273002,-73.9608249513,40.7779505138
1273032,-73.9567816383,40.7837907226
3053044,-73.9601669071,40.6084331149
3073072,-73.9972564594,40.6038939716
1113028,-74.0091758699,40.7171068357
5023016,-74.0766526688,40.6406304597
4361748,-73.8846384154,40.7015792429
1039006,-73.9781309265,40.7781466029
3083055,-73.9658097125,40.5767662532
4053097,-73.841442534,40.7201584808
3071379,-74.0066040797,40.6040742684
4233122,-73.9201921596,40.7705692974
3773005,-73.8651069963,40.6775438716
3083046,-73.9620734165,40.5775688912
1143042,-73.9991871516,40.7339456893
4473112,-73.717658437,40.74438001
4473120,-73.7024125915,40.7519650358
4053053,-73.8477076871,40.7224910681
4803003,-73.9103733281,40.77513214
1443808,-73.9931084299,40.7510915826
3623011,-73.8612689442,40.6799896415
1058388,-73.9370518175,40.8504930578
4093101,-73.9064960336,40.7000404002
4483144,-73.7741568947,40.6715085629
5023010,-74.0760433848,40.637225938
4093005,-73.9056946452,40.6995649043
3283057,-73.9578565379,40.7107619846
3071407,-73.9966889471,40.5933746458
4073026,-73.9120971474,40.7673343421
4123031,-73.8848732023,40.7497456472
4123071,-73.8895929972,40.7491389715
4063098,-73.8295100486,40.7617298647
4063130,-73.8265013852,40.7521796413
4023104,-73.8311167898,40.7059066126
4053056,-73.8456002231,40.7218955288
4063024,-73.8332526672,40.7633183411
2753003,-73.8679599953,40.8532174681
3863009,-73.9021255778,40.6468142972
3083061,-73.9607382765,40.5780522619
4333134,-73.735184432,40.7714660114
3713003,-74.002878953,40.6080905635
1443318,-73.985341105,40.7533363967
4053105,-73.8477471143,40.7213016292
3343065,-73.9536427702,40.5872965349
4053009,-73.8431852797,40.7204219952
4053012,-73.845348343,40.7213089969
4053007,-73.8471200102,40.7220839536
4053024,-73.8496977844,40.7219011084
4053029,-73.8461453509,40.7206000586
4053096,-73.8434858094,40.7210622596
4013102,-73.9225831223,40.7407026671
4033004,-73.8109020699,40.7022181559
4033002,-73.8090947967,40.7021756751
4033007,-73.8092957617,40.7018206249
4033024,-73.8058946678,40.7017651366
4072165,-73.9226832321,40.7553385244
4072185,-73.9198319662,40.7566703781
4072180,-73.9205122497,40.7564519367
4072219,-73.9143371889,40.7564875764
4072233,-73.9183086345,40.7618310071
4013005,-73.9174978103,40.7465677408
4013003,-73.9147734673,40.7461327746
4013001,-73.9130286784,40.7460507894
4013010,-73.9191138844,40.7434466673
4013019,-73.9268897367,40.7446241737
4101293,-73.8373445391,40.5821437334
4101303,-73.849121152,40.5780392902
4103005,-73.8369612122,40.5793951916
4113124,-73.7538393811,40.6000351879
4122296,-73.8870419319,40.7472452596
4033030,-73.8066746833,40.6985678669
4033057,-73.7918594709,40.702121235
4033052,-73.8020212641,40.7024271224
4033066,-73.7831021721,40.7080561421
4033069,-73.7862603898,40.7080311729
4043001,-73.8390049522,40.7189701981
4043042,-73.8382850725,40.7191964377
4043049,-73.836953484,40.7190372376
4013043,-73.9261198152,40.7445806409
4013042,-73.9242471469,40.7441709121
4013060,-73.9181415682,40.7414699962
4013074,-73.9197568617,40.7428714092
4013073,-73.9199026023,40.7421603765
4013089,-73.928139766,40.7436743285
4013105,-73.9225329588,40.7405976945
4013104,-73.923527423,40.7401573644
4061150,-73.81792766,40.749613022
4061158,-73.8227583182,40.7576593145
4061161,-73.8150629583,40.7623497749
4061160,-73.8149881061,40.7622471348
4072231,-73.9180499455,40.7588654162
4072275,-73.9172911125,40.7652152427
4081821,-73.8138191008,40.7044731942
4081881,-73.7889137405,40.7122893402
4151991,-73.9362422864,40.7432010296
4152043,-73.9421085141,40.7465463858
4152105,-73.9439075034,40.7498405394
4152111,-73.9544398279,40.7413856924
4152144,-73.9568210206,40.7458338207
4152142,-73.9556824846,40.7456008729
4152683,-73.9320555998,40.743068183
4122315,-73.8790848309,40.7480817667
4122344,-73.8864688855,40.7474291587
4122390,-73.8839749468,40.7482497883
4122388,-73.8841729368,40.7493410156
4122425,-73.893569547,40.7467910975
4122434,-73.891682943,40.7471741587
4483101,-73.770703599,40.6587494605
4483118,-73.8076731988,40.6748210516
4383126,-73.8119800939,40.7876384739
4433045,-73.7811276751,40.7289236554
4433052,-73.8065583743,40.7206484989
4433063,-73.8141622497,40.7185993162
4343152,-73.904140048,40.753489019
4493138,-73.8799152644,40.7247563342
1443030,-73.9922649752,40.7549211425
3383066,-73.901936185,40.6448778491
3393001,-73.9425807759,40.6645718485
3473011,-73.954811638,40.7341053948
1443189,-73.9913363031,40.7521172453
5053283,-74.1182336246,40.5730988932
3393015,-73.942207007,40.6699387047
3393022,-73.9399719015,40.6641526259
1443188,-73.9907027208,40.7518524499
3513010,-73.9854167644,40.6168549791
4963002,-73.8459978657,40.7857252679
3513006,-73.989652191,40.6127883932
3071408,-73.9963476466,40.5930872894
3149846,-73.9902145337,40.6651077979
3013596,-73.9841538642,40.6878561367
5053284,-74.1186366094,40.5728089993
3723002,-73.9632556575,40.5752715623
1443183,-73.9856708795,40.7498231743
3823003,-73.9588312476,40.6187240476
4953001,-73.9255358057,40.7611193996
3073092,-74.0010781512,40.5949632844
4053051,-73.8456821517,40.7217746586
3343067,-73.9536218496,40.5871978615
2213022,-73.9284307201,40.8073459297
3013015,-73.9819009072,40.6856973499
3033040,-73.9065035177,40.6687044859
3013002,-73.9956624073,40.6905137891
3063025,-73.9659903196,40.5846340786
3013029,-73.9864029878,40.6876344749
3033047,-73.9108703369,40.6704545522
3013612,-73.9911836693,40.6908747839
3013037,-73.9966822006,40.6909730261
3393002,-73.9427310174,40.6643768113
5053308,-74.092020438,40.5868076748
3393004,-73.9426446671,40.6653000126
1243023,-73.9966646964,40.7187330418
1443376,-73.9868345336,40.7468603525
2131698,-73.8877317123,40.8542548605
1433169,-73.9733230722,40.7543979625
1433120,-73.9787110343,40.7632086169
4053001,-73.8412982192,40.7194815478
2253190,-73.8967146959,40.8681688424
1074872,-73.9630186358,40.7657058896
4053020,-73.8453732434,40.7204362082
3523015,-73.9624890956,40.6724999929
3071409,-73.996105738,40.5928818974
1443988,-73.9840910989,40.7530982578
3033052,-73.9110415034,40.670563567
1433193,-73.9738349351,40.7555261627
3103018,-73.9879528424,40.6212245436
1409946,-73.9858145681,40.767583307
3513015,-73.9860690379,40.6164144802
1243048,-73.9978907236,40.7210059313
3063170,-73.9437190882,40.6000412859
1443072,-73.9838266962,40.7506739308
3013011,-73.9858577836,40.6872369558
3051340,-73.9581388049,40.6103721698
1433015,-73.9791611459,40.7577739719
3013687,-73.9895934846,40.7020808348
3013013,-73.9843394323,40.6866466608
3051348,-73.9622828768,40.6088502363
3033042,-73.9069585569,40.6696927858
4063006,-73.8334687905,40.7592785915
3513009,-73.9861101604,40.61618501
1143004,-73.9950783471,40.7316542386
1433016,-73.9786400743,40.7575556183
3393009,-73.9425319505,40.6664796936
3393016,-73.9420083943,40.6707301967
1443585,-73.9854047314,40.7398785822
4053002,-73.8415028546,40.7191543174
3473003,-73.9548701321,40.7333517717
3051347,-73.9623865871,40.6093935576
3033041,-73.906751895,40.669682113
3013014,-73.9831777417,40.6861950279
3013611,-73.9906979481,40.6907155079
1443097,-73.9922645793,40.7558427808
2103020,-73.8933930669,40.8600403849
2023001,-73.9157169307,40.8173346273
4053011,-73.8458200182,40.7208188888
1443545,-73.9851566011,40.7413017121
3013568,-73.995570006,40.6950974683
5053001,-74.0849733973,40.5830820046
4063007,-73.8339461091,40.7591269815
2131697,-73.8888462453,40.8561621552
3213028,-73.9309275795,40.6701012575
1413024,-74.0013818831,40.7369026535
1263067,-73.9425790472,40.7902560054
4333144,-73.7348503643,40.7712487044
4153008,-73.932909607,40.7435469186
3283073,-73.9552950893,40.7074480883
2043036,-73.9075685035,40.8361810277
3149859,-73.9895152753,40.663588763
3149847,-73.9902328677,40.6645897642
3123038,-74.0122000846,40.6462955216
4043061,-73.8290310461,40.7133115435
4152118,-73.949834676,40.7439019124
1074863,-73.9645857128,40.7644866798
1294842,-73.9482384938,40.774235508
2033018,-73.8917581615,40.821408332
2043007,-73.9157297499,40.8397772049
2043018,-73.916422476,40.8396646358
2203012,-73.8815590417,40.8284868503
2203026,-73.8746367363,40.8298727711
2293015,-73.838197504,40.8800714428
2293021,-73.8312208926,40.8884066878
2293049,-73.8297705736,40.8766267837
2313002,-73.8287633613,40.8520690899
2313025,-73.8324925888,40.8471956262
2313016,-73.8303042468,40.85159449
3013532,-73.9916185528,40.6958660484
3013537,-73.9862206599,40.6959335084
3013602,-73.9833943378,40.6878678633
3013675,-73.9813960194,40.6894509321
3013607,-73.9852183442,40.6887315612
3013617,-73.9812020991,40.6919619608
3013682,-73.9898356674,40.7024900265
3029361,-73.9821974987,40.6742247837
3033022,-73.9158779611,40.6688619153
3043001,-73.9619354264,40.6622493082
3043048,-73.954260841,40.6389754212
3043132,-73.9434733644,40.6319714319
3043147,-73.947254261,40.6283692327
3043009,-73.9604164136,40.6575522683
3043159,-73.9453848946,40.6184250353
3043196,-73.9486175521,40.6426632984
3063006,-73.9613004741,40.5981128556
3063016,-73.9608190183,40.5901944354
3063019,-73.960784583,40.5894845142
3013527,-73.9933102932,40.6925377812
3013588,-73.984952203,40.6921030445
3051327,-73.9624052728,40.6078538753
3063057,-73.9569227516,40.5987155198
3063064,-73.9489405122,40.5995882986
3063111,-73.9592832134,40.5987669753
3063100,-73.9597264726,40.5985301509
3063121,-73.9564222287,40.5986457153
3063080,-73.9378077677,40.6009363291
3063166,-73.9448351208,40.6003086572
3063144,-73.9503765438,40.599796445
3063147,-73.9494677958,40.5994075348
3071355,-73.9903785442,40.5995386649
3071405,-74.0025627096,40.5998790448
3091467,-74.0266674344,40.6210631463
3091435,-74.0277776242,40.6239223594
3063028,-73.9658637752,40.5864747293
3103002,-73.9875792874,40.621811753
3103027,-73.9893222519,40.6204495426
3103014,-73.9903791733,40.6188274157
3103057,-73.9852186955,40.6241794951
3103042,-73.9910480392,40.6186264997
3071388,-73.9968924944,40.5981504796
3071402,-73.9990181426,40.6102903613
3063105,-73.9601555791,40.5986888015
3013023,-73.981938445,40.6858982361
2313041,-73.8313293352,40.8471865408
3051332,-73.9638576809,40.6071739656
3043134,-73.9462529684,40.6318010169
3043114,-73.9589931514,40.6530240554
3033034,-73.9089052597,40.6685999763
3033029,-73.9092717295,40.669844118
